Datetime,Date,Time,Open,High,Low,Close,Vol
2015-12-17 09:05:00,20151217,905,10240,10390,9970,9970,4150
2015-12-17 09:10:00,20151217,910,10315,10405,10235,10235,50950
2015-12-17 09:15:00,20151217,915,10225,10245,10210,10215,54798
2015-12-17 09:20:00,20151217,920,10215,10220,10155,10175,80853
2015-12-17 09:25:00,20151217,925,10175,10215,10175,10205,4679
2015-12-17 09:30:00,20151217,930,10190,10190,10160,10185,7563
2015-12-17 09:35:00,20151217,935,10185,10185,10145,10145,1925
2015-12-17 09:40:00,20151217,940,10145,10150,10130,10145,3231
2015-12-17 09:45:00,20151217,945,10145,10145,10125,10125,1029
2015-12-17 09:50:00,20151217,950,10125,10125,10095,10095,475
2015-12-17 09:55:00,20151217,955,10090,10090,10000,10000,716
2015-12-17 10:00:00,20151217,1000,10010,10030,10000,10030,5076
2015-12-17 10:05:00,20151217,1005,10030,10080,10030,10075,3405
2015-12-17 10:10:00,20151217,1010,10070,10070,10045,10065,1112
2015-12-17 10:15:00,20151217,1015,10050,10075,10050,10075,6530
2015-12-17 10:20:00,20151217,1020,10075,10085,10075,10085,13996
2015-12-17 10:25:00,20151217,1025,10085,10105,10085,10095,11063
2015-12-17 10:30:00,20151217,1030,10095,10095,10075,10075,20799
2015-12-17 10:35:00,20151217,1035,10080,10085,10075,10085,9045
2015-12-17 10:40:00,20151217,1040,10090,10095,10075,10090,40705
2015-12-17 10:45:00,20151217,1045,10090,10100,10090,10095,24538
2015-12-17 10:50:00,20151217,1050,10095,10100,10095,10095,22595
2015-12-17 10:55:00,20151217,1055,10095,10095,10085,10090,32061
2015-12-17 11:00:00,20151217,1100,10090,10090,10080,10080,21056
2015-12-17 11:05:00,20151217,1105,10085,10090,10085,10090,10430
2015-12-17 11:10:00,20151217,1110,10090,10090,10080,10080,4015
2015-12-17 11:15:00,20151217,1115,10085,10090,10080,10085,42671
2015-12-17 11:20:00,20151217,1120,10085,10090,10085,10090,68006
2015-12-17 11:25:00,20151217,1125,10090,10095,10080,10095,11367
2015-12-17 11:30:00,20151217,1130,10095,10095,10090,10090,511
2015-12-17 11:35:00,20151217,1135,10085,10085,10080,10080,1800
2015-12-17 11:40:00,20151217,1135,10085,10085,10080,10080,1800
2015-12-17 11:45:00,20151217,1145,10090,10095,10090,10095,704
2015-12-17 11:50:00,20151217,1150,10095,10095,10080,10090,3419
2015-12-17 11:55:00,20151217,1155,10090,10095,10090,10095,501
2015-12-17 12:00:00,20151217,1200,10100,10100,10100,10100,600
2015-12-17 12:05:00,20151217,1205,10100,10100,10100,10100,1318
2015-12-17 12:10:00,20151217,1210,10100,10125,10100,10110,1208
2015-12-17 12:15:00,20151217,1215,10110,10120,10110,10120,543
2015-12-17 12:20:00,20151217,1220,10120,10120,10110,10120,6117
2015-12-17 12:25:00,20151217,1225,10120,10125,10115,10125,13883
2015-12-17 12:30:00,20151217,1230,10125,10140,10125,10135,15612
2015-12-17 12:35:00,20151217,1235,10135,10140,10130,10135,12486
2015-12-17 12:40:00,20151217,1240,10140,10145,10140,10140,19808
2015-12-17 12:45:00,20151217,1245,10150,10160,10145,10150,19880
2015-12-17 12:50:00,20151217,1250,10150,10165,10145,10165,21535
2015-12-17 12:55:00,20151217,1255,10165,10165,10155,10160,9083
2015-12-17 13:00:00,20151217,1300,10160,10160,10155,10155,7069
2015-12-17 13:05:00,20151217,1305,10175,10200,10175,10200,5597
2015-12-17 13:10:00,20151217,1310,10205,10220,10205,10210,5003
2015-12-17 13:15:00,20151217,1310,10205,10220,10205,10210,5003
2015-12-17 13:20:00,20151217,1320,10235,10235,10215,10215,4594
2015-12-17 13:25:00,20151217,1325,10215,10225,10210,10210,10950
2015-12-17 13:30:00,20151217,1330,10210,10210,10200,10200,7000
2015-12-17 13:35:00,20151217,1335,10205,10210,10200,10210,11600
2015-12-17 13:40:00,20151217,1340,10210,10215,10205,10210,19926
2015-12-17 13:45:00,20151217,1345,10215,10215,10200,10205,15036
2015-12-17 13:50:00,20151217,1350,10205,10205,10205,10205,2501
2015-12-17 13:55:00,20151217,1355,10205,10210,10200,10205,4777
2015-12-17 14:00:00,20151217,1400,10210,10210,10195,10195,4040
2015-12-17 14:05:00,20151217,1405,10190,10190,10190,10190,200
2015-12-17 14:10:00,20151217,1410,10200,10200,10200,10200,2000
2015-12-17 14:15:00,20151217,1415,10215,10215,10210,10210,121
2015-12-17 14:20:00,20151217,1420,10210,10215,10210,10215,3625
2015-12-17 14:25:00,20151217,1425,10220,10260,10220,10250,12204
2015-12-17 14:30:00,20151217,1430,10250,10250,10245,10245,511
2015-12-17 14:35:00,20151217,1435,10260,10260,10250,10260,431
